,a,grammatical,b
69,Michael shook the bin with the leaves.,1,Michael shook the leaves into the bin.
70,James shook the trashcan with the leaves.,1,James shook the leaves into the trashcan.
71,Kelly shook the bag with the leaves.,1,Kelly shook the leaves into the bag.
72,Jessica shook the box with the dirt.,1,Jessica shook the dirt into the box.
73,Rebecca shook the bin with the dirt.,1,Rebecca shook the dirt into the bin.
74,Jessica shook the trashcan with the dirt.,1,Jessica shook the dirt into the trashcan.
75,Kelly shook the bag with the dirt.,1,Kelly shook the dirt into the bag.
76,Nicole shook the box with the litter.,1,Nicole shook the litter into the box.
77,Nicole shook the bin with the litter.,1,Nicole shook the litter into the bin.
78,Kelly shook the trashcan with the litter.,1,Kelly shook the litter into the trashcan.
79,Kelly shook the bag with the litter.,1,Kelly shook the litter into the bag.
80,Rebecca curled the pole with the yarn.,1,Rebecca curled the yarn around the pole.
81,Jason curled the railing with the yarn.,1,Jason curled the yarn around the railing.
82,Rebecca curled the fence with the yarn.,1,Rebecca curled the yarn around the fence.
83,Jason curled the hydrant with the yarn.,1,Jason curled the yarn around the hydrant.
84,Nicole curled the pole with the thread.,1,Nicole curled the thread around the pole.
85,Elizabeth curled the railing with the thread.,1,Elizabeth curled the thread around the railing.
86,Rebecca curled the fence with the thread.,1,Rebecca curled the thread around the fence.
87,Christopher curled the hydrant with the thread.,1,Christopher curled the thread around the hydrant.
88,Christopher curled the pole with the scarf.,1,Christopher curled the scarf around the pole.
89,Nicole curled the railing with the scarf.,1,Nicole curled the scarf around the railing.
90,Nicole curled the fence with the scarf.,1,Nicole curled the scarf around the fence.
91,James curled the hydrant with the scarf.,1,James curled the scarf around the hydrant.
92,Christopher curled the pole with the rope.,1,Christopher curled the rope around the pole.
93,Kelly curled the railing with the rope.,1,Kelly curled the rope around the railing.
94,James curled the fence with the rope.,1,James curled the rope around the fence.
95,Michael curled the hydrant with the rope.,1,Michael curled the rope around the hydrant.
96,Christopher crammed the truck with the fruit.,1,Christopher crammed the fruit into the truck.
97,David crammed the train with the fruit.,1,David crammed the fruit into the train.
98,Elizabeth crammed the boat with the fruit.,1,Elizabeth crammed the fruit into the boat.
99,Nicole crammed the trunk with the fruit.,1,Nicole crammed the fruit into the trunk.
100,Michael crammed the cabinet with the fruit.,1,Michael crammed the fruit into the cabinet.
101,Jessica crammed the truck with the melons.,1,Jessica crammed the melons into the truck.
102,Rebecca crammed the train with the melons.,1,Rebecca crammed the melons into the train.
103,Jason crammed the boat with the melons.,1,Jason crammed the melons into the boat.
104,Jessica crammed the trunk with the melons.,1,Jessica crammed the melons into the trunk.
105,Christopher crammed the cabinet with the melons.,1,Christopher crammed the melons into the cabinet.
106,David crammed the truck with the boxes.,1,David crammed the boxes into the truck.
107,Elizabeth crammed the train with the boxes.,1,Elizabeth crammed the boxes into the train.
108,David crammed the boat with the boxes.,1,David crammed the boxes into the boat.
109,Jessica crammed the trunk with the boxes.,1,Jessica crammed the boxes into the trunk.
110,Nicole crammed the cabinet with the boxes.,1,Nicole crammed the boxes into the cabinet.
111,David crammed the truck with the packages.,1,David crammed the packages into the truck.
112,Jessica crammed the train with the packages.,1,Jessica crammed the packages into the train.
113,Nicole crammed the boat with the packages.,1,Nicole crammed the packages into the boat.
114,Christopher crammed the trunk with the packages.,1,Christopher crammed the packages into the trunk.
115,Jessica crammed the cabinet with the packages.,1,Jessica crammed the packages into the cabinet.
116,Kelly crammed the truck with the cargo.,1,Kelly crammed the cargo into the truck.
117,Christopher crammed the train with the cargo.,1,Christopher crammed the cargo into the train.
118,Michael crammed the boat with the cargo.,1,Michael crammed the cargo into the boat.
119,Kelly crammed the trunk with the cargo.,1,Kelly crammed the cargo into the trunk.
120,Michael crammed the cabinet with the cargo.,1,Michael crammed the cargo into the cabinet.
121,Kelly loaded the truck with the fruit.,1,Kelly loaded the fruit into the truck.
122,Jason loaded the train with the fruit.,1,Jason loaded the fruit into the train.
123,Rebecca loaded the boat with the fruit.,1,Rebecca loaded the fruit into the boat.
124,Kelly loaded the trunk with the fruit.,1,Kelly loaded the fruit into the trunk.
125,Michael loaded the cabinet with the fruit.,1,Michael loaded the fruit into the cabinet.
126,Jason loaded the truck with the melons.,1,Jason loaded the melons into the truck.
127,David loaded the train with the melons.,1,David loaded the melons into the train.
128,David loaded the boat with the melons.,1,David loaded the melons into the boat.
129,David loaded the trunk with the melons.,1,David loaded the melons into the trunk.
130,Nicole loaded the cabinet with the melons.,1,Nicole loaded the melons into the cabinet.
131,Jason loaded the truck with the boxes.,1,Jason loaded the boxes into the truck.
132,David loaded the train with the boxes.,1,David loaded the boxes into the train.
133,Nicole loaded the boat with the boxes.,1,Nicole loaded the boxes into the boat.
134,Jessica loaded the trunk with the boxes.,1,Jessica loaded the boxes into the trunk.
135,Nicole loaded the cabinet with the boxes.,1,Nicole loaded the boxes into the cabinet.
136,David loaded the truck with the packages.,1,David loaded the packages into the truck.
137,David loaded the train with the packages.,1,David loaded the packages into the train.
138,Elizabeth loaded the boat with the packages.,1,Elizabeth loaded the packages into the boat.
139,David loaded the trunk with the packages.,1,David loaded the packages into the trunk.
140,Nicole loaded the cabinet with the packages.,1,Nicole loaded the packages into the cabinet.
141,Michael loaded the truck with the cargo.,1,Michael loaded the cargo into the truck.
142,Nicole loaded the train with the cargo.,1,Nicole loaded the cargo into the train.
143,Nicole loaded the boat with the cargo.,1,Nicole loaded the cargo into the boat.
144,Rebecca loaded the trunk with the cargo.,1,Rebecca loaded the cargo into the trunk.
145,Nicole loaded the cabinet with the cargo.,1,Nicole loaded the cargo into the cabinet.
146,Jessica injected the patient with the medicine.,1,Jessica injected the medicine into the patient.
147,Jessica splashed the paper with paint.,1,Jessica splashed paint onto the paper.
148,Michael splashed the painting with paint.,1,Michael splashed paint onto the painting.
149,Michael splashed the letterthe cloth with paint.,1,Michael splashed paint onto the letterthe cloth.
150,Nicole splashed the paper with water.,1,Nicole splashed water onto the paper.
151,Elizabeth splashed the painting with water.,1,Elizabeth splashed water onto the painting.
152,Michael splashed the letterthe cloth with water.,1,Michael splashed water onto the letterthe cloth.
153,Jessica splashed the paper with perfume.,1,Jessica splashed perfume onto the paper.
154,Michael splashed the painting with perfume.,1,Michael splashed perfume onto the painting.
155,Elizabeth splashed the letterthe cloth with perfume.,1,Elizabeth splashed perfume onto the letterthe cloth.
156,Nicole splashed the paper with alcohol.,1,Nicole splashed alcohol onto the paper.
157,Michael splashed the painting with alcohol.,1,Michael splashed alcohol onto the painting.
158,Rebecca splashed the letterthe cloth with alcohol.,1,Rebecca splashed alcohol onto the letterthe cloth.
159,Rebecca splashed the paper with fire retardant.,1,Rebecca splashed fire retardant onto the paper.
160,Nicole splashed the painting with fire retardant.,1,Nicole splashed fire retardant onto the painting.
161,Jason splashed the letterthe cloth with fire retardant.,1,Jason splashed fire retardant onto the letterthe cloth.
162,Nicole splashed the paper with cleanser.,1,Nicole splashed cleanser onto the paper.
163,Kelly splashed the painting with cleanser.,1,Kelly splashed cleanser onto the painting.
164,Rebecca splashed the letterthe cloth with cleanser.,1,Rebecca splashed cleanser onto the letterthe cloth.
165,David splattered the paper with paint.,1,David splattered paint onto the paper.
166,Jason splattered the painting with paint.,1,Jason splattered paint onto the painting.
167,Michael splattered the letterthe cloth with paint.,1,Michael splattered paint onto the letterthe cloth.
168,Christopher splattered the paper with water.,1,Christopher splattered water onto the paper.
169,Jessica splattered the painting with water.,1,Jessica splattered water onto the painting.
170,Michael splattered the letterthe cloth with water.,1,Michael splattered water onto the letterthe cloth.
171,Elizabeth splattered the paper with perfume.,1,Elizabeth splattered perfume onto the paper.
172,Nicole splattered the painting with perfume.,1,Nicole splattered perfume onto the painting.
173,Jessica splattered the letterthe cloth with perfume.,1,Jessica splattered perfume onto the letterthe cloth.
174,Michael splattered the paper with alcohol.,1,Michael splattered alcohol onto the paper.
175,Jason splattered the painting with alcohol.,1,Jason splattered alcohol onto the painting.
176,James splattered the letterthe cloth with alcohol.,1,James splattered alcohol onto the letterthe cloth.
177,Rebecca splattered the paper with fire retardant.,1,Rebecca splattered fire retardant onto the paper.
178,Michael splattered the painting with fire retardant.,1,Michael splattered fire retardant onto the painting.
179,Jason splattered the letterthe cloth with fire retardant.,1,Jason splattered fire retardant onto the letterthe cloth.
180,Kelly splattered the paper with cleanser.,1,Kelly splattered cleanser onto the paper.
181,Elizabeth splattered the painting with cleanser.,1,Elizabeth splattered cleanser onto the painting.
182,Jason splattered the letterthe cloth with cleanser.,1,Jason splattered cleanser onto the letterthe cloth.
183,Christopher spritzed the paper with paint.,1,Christopher spritzed paint onto the paper.
184,Elizabeth spritzed the painting with paint.,1,Elizabeth spritzed paint onto the painting.
185,Kelly spritzed the letterthe cloth with paint.,1,Kelly spritzed paint onto the letterthe cloth.
186,Rebecca spritzed the paper with water.,1,Rebecca spritzed water onto the paper.
187,Elizabeth spritzed the painting with water.,1,Elizabeth spritzed water onto the painting.
188,Elizabeth spritzed the letterthe cloth with water.,1,Elizabeth spritzed water onto the letterthe cloth.
189,Kelly spritzed the paper with perfume.,1,Kelly spritzed perfume onto the paper.
190,David spritzed the painting with perfume.,1,David spritzed perfume onto the painting.
191,James spritzed the letterthe cloth with perfume.,1,James spritzed perfume onto the letterthe cloth.
192,Michael spritzed the paper with alcohol.,1,Michael spritzed alcohol onto the paper.
193,Jason spritzed the painting with alcohol.,1,Jason spritzed alcohol onto the painting.
194,Jessica spritzed the letterthe cloth with alcohol.,1,Jessica spritzed alcohol onto the letterthe cloth.
195,Jason spritzed the paper with fire retardant.,1,Jason spritzed fire retardant onto the paper.
196,James spritzed the painting with fire retardant.,1,James spritzed fire retardant onto the painting.
197,James spritzed the letterthe cloth with fire retardant.,1,James spritzed fire retardant onto the letterthe cloth.
198,David spritzed the paper with cleanser.,1,David spritzed cleanser onto the paper.
199,David spritzed the painting with cleanser.,1,David spritzed cleanser onto the painting.
200,James spritzed the letterthe cloth with cleanser.,1,James spritzed cleanser onto the letterthe cloth.
201,Nicole pumped the paper with paint.,1,Nicole pumped paint onto the paper.
202,David pumped the painting with paint.,1,David pumped paint onto the painting.
203,James pumped the letterthe cloth with paint.,1,James pumped paint onto the letterthe cloth.
204,Nicole pumped the paper with water.,1,Nicole pumped water onto the paper.
205,Jessica pumped the painting with water.,1,Jessica pumped water onto the painting.
206,Jason pumped the letterthe cloth with water.,1,Jason pumped water onto the letterthe cloth.
207,Michael pumped the paper with perfume.,1,Michael pumped perfume onto the paper.
208,Elizabeth pumped the painting with perfume.,1,Elizabeth pumped perfume onto the painting.
209,Nicole pumped the letterthe cloth with perfume.,1,Nicole pumped perfume onto the letterthe cloth.
210,Elizabeth pumped the paper with alcohol.,1,Elizabeth pumped alcohol onto the paper.
211,Elizabeth pumped the painting with alcohol.,1,Elizabeth pumped alcohol onto the painting.
212,Jason pumped the letterthe cloth with alcohol.,1,Jason pumped alcohol onto the letterthe cloth.
213,Nicole pumped the paper with fire retardant.,1,Nicole pumped fire retardant onto the paper.
214,David pumped the painting with fire retardant.,1,David pumped fire retardant onto the painting.
215,Nicole pumped the letterthe cloth with fire retardant.,1,Nicole pumped fire retardant onto the letterthe cloth.
216,Elizabeth pumped the paper with cleanser.,1,Elizabeth pumped cleanser onto the paper.
217,Jason pumped the painting with cleanser.,1,Jason pumped cleanser onto the painting.
218,Michael pumped the letterthe cloth with cleanser.,1,Michael pumped cleanser onto the letterthe cloth.
219,Christopher sprinkled the paper with paint.,1,Christopher sprinkled paint onto the paper.
220,Jessica sprinkled the painting with paint.,1,Jessica sprinkled paint onto the painting.
221,Jessica sprinkled the letterthe cloth with paint.,1,Jessica sprinkled paint onto the letterthe cloth.
222,Rebecca sprinkled the paper with water.,1,Rebecca sprinkled water onto the paper.
223,Jason sprinkled the painting with water.,1,Jason sprinkled water onto the painting.
224,Michael sprinkled the letterthe cloth with water.,1,Michael sprinkled water onto the letterthe cloth.
225,James sprinkled the paper with perfume.,1,James sprinkled perfume onto the paper.
226,Christopher sprinkled the painting with perfume.,1,Christopher sprinkled perfume onto the painting.
227,James sprinkled the letterthe cloth with perfume.,1,James sprinkled perfume onto the letterthe cloth.
228,James sprinkled the paper with alcohol.,1,James sprinkled alcohol onto the paper.
229,Rebecca sprinkled the painting with alcohol.,1,Rebecca sprinkled alcohol onto the painting.
230,David sprinkled the letterthe cloth with alcohol.,1,David sprinkled alcohol onto the letterthe cloth.
231,David sprinkled the paper with fire retardant.,1,David sprinkled fire retardant onto the paper.
232,David sprinkled the painting with fire retardant.,1,David sprinkled fire retardant onto the painting.
233,David sprinkled the letterthe cloth with fire retardant.,1,David sprinkled fire retardant onto the letterthe cloth.
234,James sprinkled the paper with cleanser.,1,James sprinkled cleanser onto the paper.
235,Jason sprinkled the painting with cleanser.,1,Jason sprinkled cleanser onto the painting.
236,Rebecca sprinkled the letterthe cloth with cleanser.,1,Rebecca sprinkled cleanser onto the letterthe cloth.
237,Jessica rubbed the paper with paint.,1,Jessica rubbed paint onto the paper.
238,Christopher rubbed the painting with paint.,1,Christopher rubbed paint onto the painting.
239,Nicole rubbed the letterthe cloth with paint.,1,Nicole rubbed paint onto the letterthe cloth.
240,James rubbed the paper with water.,1,James rubbed water onto the paper.
241,Elizabeth rubbed the painting with water.,1,Elizabeth rubbed water onto the painting.
242,James rubbed the letterthe cloth with water.,1,James rubbed water onto the letterthe cloth.
243,Elizabeth rubbed the paper with perfume.,1,Elizabeth rubbed perfume onto the paper.
244,Rebecca rubbed the painting with perfume.,1,Rebecca rubbed perfume onto the painting.
245,James rubbed the letterthe cloth with perfume.,1,James rubbed perfume onto the letterthe cloth.
246,Kelly rubbed the paper with alcohol.,1,Kelly rubbed alcohol onto the paper.
247,Rebecca rubbed the painting with alcohol.,1,Rebecca rubbed alcohol onto the painting.
248,Rebecca rubbed the letterthe cloth with alcohol.,1,Rebecca rubbed alcohol onto the letterthe cloth.
249,Rebecca rubbed the paper with fire retardant.,1,Rebecca rubbed fire retardant onto the paper.
250,Nicole rubbed the painting with fire retardant.,1,Nicole rubbed fire retardant onto the painting.
251,Elizabeth rubbed the letterthe cloth with fire retardant.,1,Elizabeth rubbed fire retardant onto the letterthe cloth.
252,Elizabeth rubbed the paper with cleanser.,1,Elizabeth rubbed cleanser onto the paper.
253,Kelly rubbed the painting with cleanser.,1,Kelly rubbed cleanser onto the painting.
254,Jessica rubbed the letterthe cloth with cleanser.,1,Jessica rubbed cleanser onto the letterthe cloth.
255,James squirted the paper with paint.,1,James squirted paint onto the paper.
256,Elizabeth squirted the painting with paint.,1,Elizabeth squirted paint onto the painting.
257,Kelly squirted the letterthe cloth with paint.,1,Kelly squirted paint onto the letterthe cloth.
258,Jason squirted the paper with water.,1,Jason squirted water onto the paper.
259,Michael squirted the painting with water.,1,Michael squirted water onto the painting.
260,Nicole squirted the letterthe cloth with water.,1,Nicole squirted water onto the letterthe cloth.
261,Nicole squirted the paper with perfume.,1,Nicole squirted perfume onto the paper.
262,Kelly squirted the painting with perfume.,1,Kelly squirted perfume onto the painting.
263,Jason squirted the letterthe cloth with perfume.,1,Jason squirted perfume onto the letterthe cloth.
264,Nicole squirted the paper with alcohol.,1,Nicole squirted alcohol onto the paper.
265,Christopher squirted the painting with alcohol.,1,Christopher squirted alcohol onto the painting.
266,James squirted the letterthe cloth with alcohol.,1,James squirted alcohol onto the letterthe cloth.
267,Elizabeth squirted the paper with fire retardant.,1,Elizabeth squirted fire retardant onto the paper.
268,Michael squirted the painting with fire retardant.,1,Michael squirted fire retardant onto the painting.
269,Rebecca squirted the letterthe cloth with fire retardant.,1,Rebecca squirted fire retardant onto the letterthe cloth.
270,Rebecca squirted the paper with cleanser.,1,Rebecca squirted cleanser onto the paper.
271,Michael squirted the painting with cleanser.,1,Michael squirted cleanser onto the painting.
272,Jason squirted the letterthe cloth with cleanser.,1,Jason squirted cleanser onto the letterthe cloth.
273,Elizabeth hung the bed with the blanket.,1,Elizabeth hung the blanket over the bed.
274,Jessica hung the armchair with the blanket.,1,Jessica hung the blanket over the armchair.
275,Rebecca hung the couch with the blanket.,1,Rebecca hung the blanket over the couch.
276,Christopher hung the bed with the towel.,1,Christopher hung the towel over the bed.
277,David hung the armchair with the towel.,1,David hung the towel over the armchair.
278,Nicole hung the couch with the towel.,1,Nicole hung the towel over the couch.
279,Rebecca hung the bed with the bedspread.,1,Rebecca hung the bedspread over the bed.
280,Elizabeth hung the armchair with the bedspread.,1,Elizabeth hung the bedspread over the armchair.
281,Kelly hung the couch with the bedspread.,1,Kelly hung the bedspread over the couch.
282,Christopher draped the bed with the blanket.,1,Christopher draped the blanket over the bed.
283,Nicole draped the armchair with the blanket.,1,Nicole draped the blanket over the armchair.
284,Nicole draped the couch with the blanket.,1,Nicole draped the blanket over the couch.
285,James draped the bed with the towel.,1,James draped the towel over the bed.
286,Jessica draped the armchair with the towel.,1,Jessica draped the towel over the armchair.
287,Elizabeth draped the couch with the towel.,1,Elizabeth draped the towel over the couch.
288,Jason draped the bed with the bedspread.,1,Jason draped the bedspread over the bed.
289,Michael draped the armchair with the bedspread.,1,Michael draped the bedspread over the armchair.
290,Kelly draped the couch with the bedspread.,1,Kelly draped the bedspread over the couch.
291,Jason immersed the culture with the spy.,1,Jason immersed the spy in the culture.
292,Jason immersed the language with the spy.,1,Jason immersed the spy in the language.
293,Jason immersed the culture with the immigrant.,1,Jason immersed the immigrant in the culture.
294,Elizabeth immersed the language with the immigrant.,1,Elizabeth immersed the immigrant in the language.
295,Christopher situated the culture with the spy.,1,Christopher situated the spy in the culture.
296,Kelly situated the language with the spy.,1,Kelly situated the spy in the language.
297,Jessica situated the culture with the immigrant.,1,Jessica situated the immigrant in the culture.
298,Elizabeth situated the language with the immigrant.,1,Elizabeth situated the immigrant in the language.
299,Nicole dripped the spoon with the milk.,1,Nicole dripped the milk from the spoon.
300,Rebecca dripped the cup with the milk.,1,Rebecca dripped the milk from the cup.
301,Christopher dripped the ladle with the milk.,1,Christopher dripped the milk from the ladle.
302,Nicole dripped the spatula with the milk.,1,Nicole dripped the milk from the spatula.
303,James dripped the spoon with the soup.,1,James dripped the soup from the spoon.
304,Christopher dripped the cup with the soup.,1,Christopher dripped the soup from the cup.
305,Elizabeth dripped the ladle with the soup.,1,Elizabeth dripped the soup from the ladle.
306,Kelly dripped the spatula with the soup.,1,Kelly dripped the soup from the spatula.
307,Elizabeth dribbled the spoon with the milk.,1,Elizabeth dribbled the milk from the spoon.
308,David dribbled the cup with the milk.,1,David dribbled the milk from the cup.
309,Rebecca dribbled the ladle with the milk.,1,Rebecca dribbled the milk from the ladle.
310,Christopher dribbled the spatula with the milk.,1,Christopher dribbled the milk from the spatula.
311,Jason dribbled the spoon with the soup.,1,Jason dribbled the soup from the spoon.
312,Rebecca dribbled the cup with the soup.,1,Rebecca dribbled the soup from the cup.
313,Elizabeth dribbled the ladle with the soup.,1,Elizabeth dribbled the soup from the ladle.
314,Christopher dribbled the spatula with the soup.,1,Christopher dribbled the soup from the spatula.
315,Jason spilled the spoon with the milk.,1,Jason spilled the milk from the spoon.
316,David spilled the cup with the milk.,1,David spilled the milk from the cup.
317,Christopher spilled the ladle with the milk.,1,Christopher spilled the milk from the ladle.
318,Christopher spilled the spatula with the milk.,1,Christopher spilled the milk from the spatula.
319,Nicole spilled the spoon with the soup.,1,Nicole spilled the soup from the spoon.
320,Jason spilled the cup with the soup.,1,Jason spilled the soup from the cup.
321,Christopher spilled the ladle with the soup.,1,Christopher spilled the soup from the ladle.
322,Christopher spilled the spatula with the soup.,1,Christopher spilled the soup from the spatula.
323,Christopher spewed the tube with the water.,1,Christopher spewed the water from the tube.
324,James spewed the hose with the water.,1,James spewed the water from the hose.
325,Elizabeth spewed the tube with the soup.,1,Elizabeth spewed the soup from the tube.
326,Michael spewed the hose with the soup.,1,Michael spewed the soup from the hose.
327,Elizabeth spurted the tube with the water.,1,Elizabeth spurted the water from the tube.
328,James spurted the hose with the water.,1,James spurted the water from the hose.
329,Jason spurted the tube with the soup.,1,Jason spurted the soup from the tube.
330,Michael spurted the hose with the soup.,1,Michael spurted the soup from the hose.
331,Christopher shovelled the box with the leaves.,1,Christopher shovelled the leaves into the box.
332,David shovelled the bin with the leaves.,1,David shovelled the leaves into the bin.
333,Rebecca shovelled the trashcan with the leaves.,1,Rebecca shovelled the leaves into the trashcan.
334,Jason shovelled the bag with the leaves.,1,Jason shovelled the leaves into the bag.
335,Jason shovelled the box with the dirt.,1,Jason shovelled the dirt into the box.
336,David shovelled the bin with the dirt.,1,David shovelled the dirt into the bin.
337,Kelly shovelled the trashcan with the dirt.,1,Kelly shovelled the dirt into the trashcan.
338,David shovelled the bag with the dirt.,1,David shovelled the dirt into the bag.
339,James shovelled the box with the litter.,1,James shovelled the litter into the box.
340,Michael shovelled the bin with the litter.,1,Michael shovelled the litter into the bin.
341,James shovelled the trashcan with the litter.,1,James shovelled the litter into the trashcan.
342,Kelly shovelled the bag with the litter.,1,Kelly shovelled the litter into the bag.
343,Jessica scraped the box with the leaves.,1,Jessica scraped the leaves into the box.
344,Elizabeth scraped the bin with the leaves.,1,Elizabeth scraped the leaves into the bin.
345,Rebecca scraped the trashcan with the leaves.,1,Rebecca scraped the leaves into the trashcan.
346,Nicole scraped the bag with the leaves.,1,Nicole scraped the leaves into the bag.
347,Jessica scraped the box with the dirt.,1,Jessica scraped the dirt into the box.
348,Rebecca scraped the bin with the dirt.,1,Rebecca scraped the dirt into the bin.
349,Jason scraped the trashcan with the dirt.,1,Jason scraped the dirt into the trashcan.
350,Rebecca scraped the bag with the dirt.,1,Rebecca scraped the dirt into the bag.
351,James scraped the box with the litter.,1,James scraped the litter into the box.
352,Jessica scraped the bin with the litter.,1,Jessica scraped the litter into the bin.
353,Kelly scraped the trashcan with the litter.,1,Kelly scraped the litter into the trashcan.
354,Rebecca scraped the bag with the litter.,1,Rebecca scraped the litter into the bag.
355,Christopher raked the box with the leaves.,1,Christopher raked the leaves into the box.
356,Christopher raked the bin with the leaves.,1,Christopher raked the leaves into the bin.
357,David raked the trashcan with the leaves.,1,David raked the leaves into the trashcan.
358,Rebecca raked the bag with the leaves.,1,Rebecca raked the leaves into the bag.
359,Jason raked the box with the dirt.,1,Jason raked the dirt into the box.
360,Christopher raked the bin with the dirt.,1,Christopher raked the dirt into the bin.
361,Christopher raked the trashcan with the dirt.,1,Christopher raked the dirt into the trashcan.
362,Michael raked the bag with the dirt.,1,Michael raked the dirt into the bag.
363,Jason raked the box with the litter.,1,Jason raked the litter into the box.
364,David raked the bin with the litter.,1,David raked the litter into the bin.
