,a,grammatical,b
48,There clung at the edge of the cliff an orchid.,1,An orchid clung at the edge of the cliff.
49,There clung on the mountain an orchid.,1,An orchid clung on the mountain.
50,There clung at the edge of the cliff a cactus.,1,A cactus clung at the edge of the cliff.
51,There clung on the mountain a cactus.,1,A cactus clung on the mountain.
52,There clung at the edge of the cliff a tree.,1,A tree clung at the edge of the cliff.
53,There clung on the mountain a tree.,1,A tree clung on the mountain.
54,There decayed in the gutter a dead rat.,1,A dead rat decayed in the gutter.
55,There decayed on the forest floor a dead rat.,1,A dead rat decayed on the forest floor.
56,There decayed in the shadows a dead rat.,1,A dead rat decayed in the shadows.
57,There decayed in the gutter a forgotten apple.,1,A forgotten apple decayed in the gutter.
58,There decayed on the forest floor a forgotten apple.,1,A forgotten apple decayed on the forest floor.
59,There decayed in the shadows a forgotten apple.,1,A forgotten apple decayed in the shadows.
60,There decayed in the gutter a strawberry.,1,A strawberry decayed in the gutter.
61,There decayed on the forest floor a strawberry.,1,A strawberry decayed on the forest floor.
62,There decayed in the shadows a strawberry.,1,A strawberry decayed in the shadows.
63,There decayed in the gutter an old log.,1,An old log decayed in the gutter.
64,There decayed on the forest floor an old log.,1,An old log decayed on the forest floor.
65,There decayed in the shadows an old log.,1,An old log decayed in the shadows.
66,There festered in the gutter a dead rat.,1,A dead rat festered in the gutter.
67,There festered on the forest floor a dead rat.,1,A dead rat festered on the forest floor.
68,There festered in the shadows a dead rat.,1,A dead rat festered in the shadows.
69,There festered in the gutter a forgotten apple.,1,A forgotten apple festered in the gutter.
70,There festered on the forest floor a forgotten apple.,1,A forgotten apple festered on the forest floor.
71,There festered in the shadows a forgotten apple.,1,A forgotten apple festered in the shadows.
72,There festered in the gutter a strawberry.,1,A strawberry festered in the gutter.
73,There festered on the forest floor a strawberry.,1,A strawberry festered on the forest floor.
74,There festered in the shadows a strawberry.,1,A strawberry festered in the shadows.
75,There festered in the gutter an old log.,1,An old log festered in the gutter.
76,There festered on the forest floor an old log.,1,An old log festered on the forest floor.
77,There festered in the shadows an old log.,1,An old log festered in the shadows.
78,There rotted in the gutter a dead rat.,1,A dead rat rotted in the gutter.
79,There rotted on the forest floor a dead rat.,1,A dead rat rotted on the forest floor.
80,There rotted in the shadows a dead rat.,1,A dead rat rotted in the shadows.
81,There rotted in the gutter a forgotten apple.,1,A forgotten apple rotted in the gutter.
82,There rotted on the forest floor a forgotten apple.,1,A forgotten apple rotted on the forest floor.
83,There rotted in the shadows a forgotten apple.,1,A forgotten apple rotted in the shadows.
84,There rotted in the gutter a strawberry.,1,A strawberry rotted in the gutter.
85,There rotted on the forest floor a strawberry.,1,A strawberry rotted on the forest floor.
86,There rotted in the shadows a strawberry.,1,A strawberry rotted in the shadows.
87,There rotted in the gutter an old log.,1,An old log rotted in the gutter.
88,There rotted on the forest floor an old log.,1,An old log rotted on the forest floor.
89,There rotted in the shadows an old log.,1,An old log rotted in the shadows.
90,There decomposed in the gutter a dead rat.,1,A dead rat decomposed in the gutter.
91,There decomposed on the forest floor a dead rat.,1,A dead rat decomposed on the forest floor.
92,There decomposed in the shadows a dead rat.,1,A dead rat decomposed in the shadows.
93,There decomposed in the gutter a forgotten apple.,1,A forgotten apple decomposed in the gutter.
94,There decomposed on the forest floor a forgotten apple.,1,A forgotten apple decomposed on the forest floor.
95,There decomposed in the shadows a forgotten apple.,1,A forgotten apple decomposed in the shadows.
96,There decomposed in the gutter a strawberry.,1,A strawberry decomposed in the gutter.
97,There decomposed on the forest floor a strawberry.,1,A strawberry decomposed on the forest floor.
98,There decomposed in the shadows a strawberry.,1,A strawberry decomposed in the shadows.
99,There decomposed in the gutter an old log.,1,An old log decomposed in the gutter.
100,There decomposed on the forest floor an old log.,1,An old log decomposed on the forest floor.
101,There decomposed in the shadows an old log.,1,An old log decomposed in the shadows.
102,There existed in our minds several concerns.,1,Several concerns existed in our minds.
103,There existed in our minds some hope.,1,Some hope existed in our minds.
104,There existed in our minds several issues.,1,Several issues existed in our minds.
105,There existed in our minds some questions.,1,Some questions existed in our minds.
106,There remained in our minds several concerns.,1,Several concerns remained in our minds.
107,There remained in our minds some hope.,1,Some hope remained in our minds.
108,There remained in our minds several issues.,1,Several issues remained in our minds.
109,There remained in our minds some questions.,1,Some questions remained in our minds.
110,There persisted in our minds several concerns.,1,Several concerns persisted in our minds.
111,There persisted in our minds some hope.,1,Some hope persisted in our minds.
112,There persisted in our minds several issues.,1,Several issues persisted in our minds.
113,There persisted in our minds some questions.,1,Some questions persisted in our minds.
114,There dwelled at the edge of the cliff two families.,1,Two families dwelled at the edge of the cliff.
115,There dwelled in the house two families.,1,Two families dwelled in the house.
116,There dwelled in the apartment two families.,1,Two families dwelled in the apartment.
117,There dwelled in the town two families.,1,Two families dwelled in the town.
118,There dwelled at the edge of the cliff a colony of ants.,1,A colony of ants dwelled at the edge of the cliff.
119,There dwelled in the house a colony of ants.,1,A colony of ants dwelled in the house.
120,There dwelled in the apartment a colony of ants.,1,A colony of ants dwelled in the apartment.
121,There dwelled in the town a colony of ants.,1,A colony of ants dwelled in the town.
122,There dwelled at the edge of the cliff some bats.,1,Some bats dwelled at the edge of the cliff.
123,There dwelled in the house some bats.,1,Some bats dwelled in the house.
124,There dwelled in the apartment some bats.,1,Some bats dwelled in the apartment.
125,There dwelled in the town some bats.,1,Some bats dwelled in the town.
126,There dwelled at the edge of the cliff an indigenous group.,1,An indigenous group dwelled at the edge of the cliff.
127,There dwelled in the house an indigenous group.,1,An indigenous group dwelled in the house.
128,There dwelled in the apartment an indigenous group.,1,An indigenous group dwelled in the apartment.
129,There dwelled in the town an indigenous group.,1,An indigenous group dwelled in the town.
130,There lived at the edge of the cliff two families.,1,Two families lived at the edge of the cliff.
131,There lived in the house two families.,1,Two families lived in the house.
132,There lived in the apartment two families.,1,Two families lived in the apartment.
133,There lived in the town two families.,1,Two families lived in the town.
134,There lived at the edge of the cliff a colony of ants.,1,A colony of ants lived at the edge of the cliff.
135,There lived in the house a colony of ants.,1,A colony of ants lived in the house.
136,There lived in the apartment a colony of ants.,1,A colony of ants lived in the apartment.
137,There lived in the town a colony of ants.,1,A colony of ants lived in the town.
138,There lived at the edge of the cliff some bats.,1,Some bats lived at the edge of the cliff.
139,There lived in the house some bats.,1,Some bats lived in the house.
140,There lived in the apartment some bats.,1,Some bats lived in the apartment.
141,There lived in the town some bats.,1,Some bats lived in the town.
142,There lived at the edge of the cliff an indigenous group.,1,An indigenous group lived at the edge of the cliff.
143,There lived in the house an indigenous group.,1,An indigenous group lived in the house.
144,There lived in the apartment an indigenous group.,1,An indigenous group lived in the apartment.
145,There lived in the town an indigenous group.,1,An indigenous group lived in the town.
146,There resided at the edge of the cliff two families.,1,Two families resided at the edge of the cliff.
147,There resided in the house two families.,1,Two families resided in the house.
148,There resided in the apartment two families.,1,Two families resided in the apartment.
149,There resided in the town two families.,1,Two families resided in the town.
150,There resided at the edge of the cliff a colony of ants.,1,A colony of ants resided at the edge of the cliff.
151,There resided in the house a colony of ants.,1,A colony of ants resided in the house.
152,There resided in the apartment a colony of ants.,1,A colony of ants resided in the apartment.
153,There resided in the town a colony of ants.,1,A colony of ants resided in the town.
154,There resided at the edge of the cliff some bats.,1,Some bats resided at the edge of the cliff.
155,There resided in the house some bats.,1,Some bats resided in the house.
156,There resided in the apartment some bats.,1,Some bats resided in the apartment.
157,There resided in the town some bats.,1,Some bats resided in the town.
158,There resided at the edge of the cliff an indigenous group.,1,An indigenous group resided at the edge of the cliff.
159,There resided in the house an indigenous group.,1,An indigenous group resided in the house.
160,There resided in the apartment an indigenous group.,1,An indigenous group resided in the apartment.
161,There resided in the town an indigenous group.,1,An indigenous group resided in the town.
162,There settled at the edge of the cliff two families.,1,Two families settled at the edge of the cliff.
163,There settled in the house two families.,1,Two families settled in the house.
164,There settled in the apartment two families.,1,Two families settled in the apartment.
165,There settled in the town two families.,1,Two families settled in the town.
166,There settled at the edge of the cliff a colony of ants.,1,A colony of ants settled at the edge of the cliff.
167,There settled in the house a colony of ants.,1,A colony of ants settled in the house.
168,There settled in the apartment a colony of ants.,1,A colony of ants settled in the apartment.
169,There settled in the town a colony of ants.,1,A colony of ants settled in the town.
170,There settled at the edge of the cliff some bats.,1,Some bats settled at the edge of the cliff.
171,There settled in the house some bats.,1,Some bats settled in the house.
172,There settled in the apartment some bats.,1,Some bats settled in the apartment.
173,There settled in the town some bats.,1,Some bats settled in the town.
174,There settled at the edge of the cliff an indigenous group.,1,An indigenous group settled at the edge of the cliff.
175,There settled in the house an indigenous group.,1,An indigenous group settled in the house.
176,There settled in the apartment an indigenous group.,1,An indigenous group settled in the apartment.
177,There settled in the town an indigenous group.,1,An indigenous group settled in the town.
178,There coexisted at the edge of the cliff two families.,1,Two families coexisted at the edge of the cliff.
179,There coexisted in the house two families.,1,Two families coexisted in the house.
180,There coexisted in the apartment two families.,1,Two families coexisted in the apartment.
181,There coexisted in the town two families.,1,Two families coexisted in the town.
182,There coexisted at the edge of the cliff a colony of ants.,1,A colony of ants coexisted at the edge of the cliff.
183,There coexisted in the house a colony of ants.,1,A colony of ants coexisted in the house.
184,There coexisted in the apartment a colony of ants.,1,A colony of ants coexisted in the apartment.
185,There coexisted in the town a colony of ants.,1,A colony of ants coexisted in the town.
186,There coexisted at the edge of the cliff some bats.,1,Some bats coexisted at the edge of the cliff.
187,There coexisted in the house some bats.,1,Some bats coexisted in the house.
188,There coexisted in the apartment some bats.,1,Some bats coexisted in the apartment.
189,There coexisted in the town some bats.,1,Some bats coexisted in the town.
190,There coexisted at the edge of the cliff an indigenous group.,1,An indigenous group coexisted at the edge of the cliff.
191,There coexisted in the house an indigenous group.,1,An indigenous group coexisted in the house.
192,There coexisted in the apartment an indigenous group.,1,An indigenous group coexisted in the apartment.
193,There coexisted in the town an indigenous group.,1,An indigenous group coexisted in the town.
194,There loomed over the edge of the cliff a boulder.,1,A boulder loomed over the edge of the cliff.
195,There loomed over the river a boulder.,1,A boulder loomed over the river.
196,There loomed above the walkway a boulder.,1,A boulder loomed above the walkway.
197,There loomed over the edge of the cliff a bridge.,1,A bridge loomed over the edge of the cliff.
198,There loomed over the river a bridge.,1,A bridge loomed over the river.
199,There loomed above the walkway a bridge.,1,A bridge loomed above the walkway.
200,There loomed over the edge of the cliff a branch.,1,A branch loomed over the edge of the cliff.
201,There loomed over the river a branch.,1,A branch loomed over the river.
202,There loomed above the walkway a branch.,1,A branch loomed above the walkway.
203,There projected over the edge of the cliff a boulder.,1,A boulder projected over the edge of the cliff.
204,There projected over the river a boulder.,1,A boulder projected over the river.
205,There projected above the walkway a boulder.,1,A boulder projected above the walkway.
206,There projected over the edge of the cliff a bridge.,1,A bridge projected over the edge of the cliff.
207,There projected over the river a bridge.,1,A bridge projected over the river.
208,There projected above the walkway a bridge.,1,A bridge projected above the walkway.
209,There projected over the edge of the cliff a branch.,1,A branch projected over the edge of the cliff.
210,There projected over the river a branch.,1,A branch projected over the river.
211,There projected above the walkway a branch.,1,A branch projected above the walkway.
212,There protruded over the edge of the cliff a boulder.,1,A boulder protruded over the edge of the cliff.
213,There protruded over the river a boulder.,1,A boulder protruded over the river.
214,There protruded above the walkway a boulder.,1,A boulder protruded above the walkway.
215,There protruded over the edge of the cliff a bridge.,1,A bridge protruded over the edge of the cliff.
216,There protruded over the river a bridge.,1,A bridge protruded over the river.
217,There protruded above the walkway a bridge.,1,A bridge protruded above the walkway.
218,There protruded over the edge of the cliff a branch.,1,A branch protruded over the edge of the cliff.
219,There protruded over the river a branch.,1,A branch protruded over the river.
220,There protruded above the walkway a branch.,1,A branch protruded above the walkway.
221,There hovered over the edge of the cliff a boulder.,1,A boulder hovered over the edge of the cliff.
222,There hovered over the river a boulder.,1,A boulder hovered over the river.
223,There hovered above the walkway a boulder.,1,A boulder hovered above the walkway.
224,There hovered over the edge of the cliff a bridge.,1,A bridge hovered over the edge of the cliff.
225,There hovered over the river a bridge.,1,A bridge hovered over the river.
226,There hovered above the walkway a bridge.,1,A bridge hovered above the walkway.
227,There hovered over the edge of the cliff a branch.,1,A branch hovered over the edge of the cliff.
228,There hovered over the river a branch.,1,A branch hovered over the river.
229,There hovered above the walkway a branch.,1,A branch hovered above the walkway.
230,There crouched next to the church a boy.,1,A boy crouched next to the church.
231,There crouched in the plaza a boy.,1,A boy crouched in the plaza.
232,There crouched on the stoop a boy.,1,A boy crouched on the stoop.
233,There crouched next to the church a statue.,1,A statue crouched next to the church.
234,There crouched in the plaza a statue.,1,A statue crouched in the plaza.
235,There crouched on the stoop a statue.,1,A statue crouched on the stoop.
236,There crouched next to the church a dog.,1,A dog crouched next to the church.
237,There crouched in the plaza a dog.,1,A dog crouched in the plaza.
238,There crouched on the stoop a dog.,1,A dog crouched on the stoop.
239,There crouched next to the church a sparrow.,1,A sparrow crouched next to the church.
240,There crouched in the plaza a sparrow.,1,A sparrow crouched in the plaza.
241,There crouched on the stoop a sparrow.,1,A sparrow crouched on the stoop.
242,There kneeled next to the church a boy.,1,A boy kneeled next to the church.
243,There kneeled in the plaza a boy.,1,A boy kneeled in the plaza.
244,There kneeled on the stoop a boy.,1,A boy kneeled on the stoop.
245,There kneeled next to the church a statue.,1,A statue kneeled next to the church.
246,There kneeled in the plaza a statue.,1,A statue kneeled in the plaza.
247,There kneeled on the stoop a statue.,1,A statue kneeled on the stoop.
248,There kneeled next to the church a dog.,1,A dog kneeled next to the church.
249,There kneeled in the plaza a dog.,1,A dog kneeled in the plaza.
250,There kneeled on the stoop a dog.,1,A dog kneeled on the stoop.
251,There kneeled next to the church a sparrow.,1,A sparrow kneeled next to the church.
252,There kneeled in the plaza a sparrow.,1,A sparrow kneeled in the plaza.
253,There kneeled on the stoop a sparrow.,1,A sparrow kneeled on the stoop.
254,There squatted next to the church a boy.,1,A boy squatted next to the church.
255,There squatted in the plaza a boy.,1,A boy squatted in the plaza.
256,There squatted on the stoop a boy.,1,A boy squatted on the stoop.
257,There squatted next to the church a statue.,1,A statue squatted next to the church.
258,There squatted in the plaza a statue.,1,A statue squatted in the plaza.
259,There squatted on the stoop a statue.,1,A statue squatted on the stoop.
260,There squatted next to the church a dog.,1,A dog squatted next to the church.
261,There squatted in the plaza a dog.,1,A dog squatted in the plaza.
262,There squatted on the stoop a dog.,1,A dog squatted on the stoop.
263,There squatted next to the church a sparrow.,1,A sparrow squatted next to the church.
264,There squatted in the plaza a sparrow.,1,A sparrow squatted in the plaza.
265,There squatted on the stoop a sparrow.,1,A sparrow squatted on the stoop.
266,There rested next to the church a boy.,1,A boy rested next to the church.
267,There rested in the plaza a boy.,1,A boy rested in the plaza.
268,There rested on the stoop a boy.,1,A boy rested on the stoop.
269,There rested next to the church a statue.,1,A statue rested next to the church.
270,There rested in the plaza a statue.,1,A statue rested in the plaza.
271,There rested on the stoop a statue.,1,A statue rested on the stoop.
272,There rested next to the church a dog.,1,A dog rested next to the church.
273,There rested in the plaza a dog.,1,A dog rested in the plaza.
274,There rested on the stoop a dog.,1,A dog rested on the stoop.
275,There rested next to the church a sparrow.,1,A sparrow rested next to the church.
276,There rested in the plaza a sparrow.,1,A sparrow rested in the plaza.
277,There rested on the stoop a sparrow.,1,A sparrow rested on the stoop.
278,There sat next to the church a boy.,1,A boy sat next to the church.
279,There sat in the plaza a boy.,1,A boy sat in the plaza.
280,There sat on the stoop a boy.,1,A boy sat on the stoop.
281,There sat next to the church a statue.,1,A statue sat next to the church.
282,There sat in the plaza a statue.,1,A statue sat in the plaza.
283,There sat on the stoop a statue.,1,A statue sat on the stoop.
284,There sat next to the church a dog.,1,A dog sat next to the church.
285,There sat in the plaza a dog.,1,A dog sat in the plaza.
286,There sat on the stoop a dog.,1,A dog sat on the stoop.
287,There sat next to the church a sparrow.,1,A sparrow sat next to the church.
288,There sat in the plaza a sparrow.,1,A sparrow sat in the plaza.
289,There sat on the stoop a sparrow.,1,A sparrow sat on the stoop.
290,There stood next to the church a boy.,1,A boy stood next to the church.
291,There stood in the plaza a boy.,1,A boy stood in the plaza.
292,There stood on the stoop a boy.,1,A boy stood on the stoop.
293,There stood next to the church a statue.,1,A statue stood next to the church.
294,There stood in the plaza a statue.,1,A statue stood in the plaza.
295,There stood on the stoop a statue.,1,A statue stood on the stoop.
296,There stood next to the church a dog.,1,A dog stood next to the church.
297,There stood in the plaza a dog.,1,A dog stood in the plaza.
298,There stood on the stoop a dog.,1,A dog stood on the stoop.
299,There stood next to the church a sparrow.,1,A sparrow stood next to the church.
300,There stood in the plaza a sparrow.,1,A sparrow stood in the plaza.
301,There stood on the stoop a sparrow.,1,A sparrow stood on the stoop.
302,There perched next to the church a boy.,1,A boy perched next to the church.
303,There perched in the plaza a boy.,1,A boy perched in the plaza.
304,There perched on the stoop a boy.,1,A boy perched on the stoop.
305,There perched next to the church a statue.,1,A statue perched next to the church.
306,There perched in the plaza a statue.,1,A statue perched in the plaza.
307,There perched on the stoop a statue.,1,A statue perched on the stoop.
308,There perched next to the church a dog.,1,A dog perched next to the church.
309,There perched in the plaza a dog.,1,A dog perched in the plaza.
310,There perched on the stoop a dog.,1,A dog perched on the stoop.
311,There perched next to the church a sparrow.,1,A sparrow perched next to the church.
312,There perched in the plaza a sparrow.,1,A sparrow perched in the plaza.
313,There perched on the stoop a sparrow.,1,A sparrow perched on the stoop.
314,There dangled over the yard a flag.,1,A flag dangled over the yard.
315,There dangled from the tree a flag.,1,A flag dangled from the tree.
316,There dangled over the yard a sheet.,1,A sheet dangled over the yard.
317,There dangled from the tree a sheet.,1,A sheet dangled from the tree.
318,There dangled over the yard a clothes line.,1,A clothes line dangled over the yard.
319,There dangled from the tree a clothes line.,1,A clothes line dangled from the tree.
320,There hung over the yard a flag.,1,A flag hung over the yard.
321,There hung from the tree a flag.,1,A flag hung from the tree.
322,There hung over the yard a sheet.,1,A sheet hung over the yard.
323,There hung from the tree a sheet.,1,A sheet hung from the tree.
324,There hung over the yard a clothes line.,1,A clothes line hung over the yard.
325,There hung from the tree a clothes line.,1,A clothes line hung from the tree.
326,There swung over the yard a flag.,1,A flag swung over the yard.
327,There swung from the tree a flag.,1,A flag swung from the tree.
328,There swung over the yard a sheet.,1,A sheet swung over the yard.
329,There swung from the tree a sheet.,1,A sheet swung from the tree.
330,There swung over the yard a clothes line.,1,A clothes line swung over the yard.
331,There swung from the tree a clothes line.,1,A clothes line swung from the tree.
332,There meandered through the town a path.,1,A path meandered through the town.
333,There meandered up the mountain a path.,1,A path meandered up the mountain.
334,There meandered over the prairie a path.,1,A path meandered over the prairie.
335,There meandered through the town a road.,1,A road meandered through the town.
336,There meandered up the mountain a road.,1,A road meandered up the mountain.
337,There meandered over the prairie a road.,1,A road meandered over the prairie.
338,There meandered through the town a telephone wire.,1,A telephone wire meandered through the town.
339,There meandered up the mountain a telephone wire.,1,A telephone wire meandered up the mountain.
340,There meandered over the prairie a telephone wire.,1,A telephone wire meandered over the prairie.
341,There twisted through the town a path.,1,A path twisted through the town.
342,There twisted up the mountain a path.,1,A path twisted up the mountain.
343,There twisted over the prairie a path.,1,A path twisted over the prairie.
344,There twisted through the town a road.,1,A road twisted through the town.
345,There twisted up the mountain a road.,1,A road twisted up the mountain.
346,There twisted over the prairie a road.,1,A road twisted over the prairie.
347,There twisted through the town a telephone wire.,1,A telephone wire twisted through the town.
348,There twisted up the mountain a telephone wire.,1,A telephone wire twisted up the mountain.
349,There twisted over the prairie a telephone wire.,1,A telephone wire twisted over the prairie.
350,There weaved through the town a path.,1,A path weaved through the town.
351,There weaved up the mountain a path.,1,A path weaved up the mountain.
352,There weaved over the prairie a path.,1,A path weaved over the prairie.
353,There weaved through the town a road.,1,A road weaved through the town.
354,There weaved up the mountain a road.,1,A road weaved up the mountain.
355,There weaved over the prairie a road.,1,A road weaved over the prairie.
356,There weaved through the town a telephone wire.,1,A telephone wire weaved through the town.
357,There weaved up the mountain a telephone wire.,1,A telephone wire weaved up the mountain.
358,There weaved over the prairie a telephone wire.,1,A telephone wire weaved over the prairie.
359,There wandered through the town a path.,1,A path wandered through the town.
360,There wandered up the mountain a path.,1,A path wandered up the mountain.
361,There wandered over the prairie a path.,1,A path wandered over the prairie.
362,There wandered through the town a road.,1,A road wandered through the town.
363,There wandered up the mountain a road.,1,A road wandered up the mountain.
364,There wandered over the prairie a road.,1,A road wandered over the prairie.
365,There wandered through the town a telephone wire.,1,A telephone wire wandered through the town.
366,There wandered up the mountain a telephone wire.,1,A telephone wire wandered up the mountain.
367,There wandered over the prairie a telephone wire.,1,A telephone wire wandered over the prairie.
368,There emanated from the hole a sticky fluid.,1,A sticky fluid emanated from the hole.
369,There emanated from the container a sticky fluid.,1,A sticky fluid emanated from the container.
370,There emanated from the cave a sticky fluid.,1,A sticky fluid emanated from the cave.
371,There emanated from the oven a sticky fluid.,1,A sticky fluid emanated from the oven.
372,There emanated from the hole a putrid smell.,1,A putrid smell emanated from the hole.
373,There emanated from the container a putrid smell.,1,A putrid smell emanated from the container.
374,There emanated from the cave a putrid smell.,1,A putrid smell emanated from the cave.
375,There emanated from the oven a putrid smell.,1,A putrid smell emanated from the oven.
376,There emanated from the hole a fine mist.,1,A fine mist emanated from the hole.
377,There emanated from the container a fine mist.,1,A fine mist emanated from the container.
378,There emanated from the cave a fine mist.,1,A fine mist emanated from the cave.
379,There emanated from the oven a fine mist.,1,A fine mist emanated from the oven.
380,There exuded from the hole a sticky fluid.,1,A sticky fluid exuded from the hole.
381,There exuded from the container a sticky fluid.,1,A sticky fluid exuded from the container.
382,There exuded from the cave a sticky fluid.,1,A sticky fluid exuded from the cave.
383,There exuded from the oven a sticky fluid.,1,A sticky fluid exuded from the oven.
384,There exuded from the hole a putrid smell.,1,A putrid smell exuded from the hole.
385,There exuded from the container a putrid smell.,1,A putrid smell exuded from the container.
386,There exuded from the cave a putrid smell.,1,A putrid smell exuded from the cave.
387,There exuded from the oven a putrid smell.,1,A putrid smell exuded from the oven.
388,There exuded from the hole a fine mist.,1,A fine mist exuded from the hole.
389,There exuded from the container a fine mist.,1,A fine mist exuded from the container.
390,There exuded from the cave a fine mist.,1,A fine mist exuded from the cave.
391,There exuded from the oven a fine mist.,1,A fine mist exuded from the oven.
392,There emerged from the hole a sticky fluid.,1,A sticky fluid emerged from the hole.
393,There emerged from the container a sticky fluid.,1,A sticky fluid emerged from the container.
394,There emerged from the cave a sticky fluid.,1,A sticky fluid emerged from the cave.
395,There emerged from the oven a sticky fluid.,1,A sticky fluid emerged from the oven.
396,There emerged from the hole a putrid smell.,1,A putrid smell emerged from the hole.
397,There emerged from the container a putrid smell.,1,A putrid smell emerged from the container.
398,There emerged from the cave a putrid smell.,1,A putrid smell emerged from the cave.
399,There emerged from the oven a putrid smell.,1,A putrid smell emerged from the oven.
400,There emerged from the hole a fine mist.,1,A fine mist emerged from the hole.
401,There emerged from the container a fine mist.,1,A fine mist emerged from the container.
402,There emerged from the cave a fine mist.,1,A fine mist emerged from the cave.
403,There emerged from the oven a fine mist.,1,A fine mist emerged from the oven.
404,There gushed from the hole a sticky fluid.,1,A sticky fluid gushed from the hole.
405,There gushed from the container a sticky fluid.,1,A sticky fluid gushed from the container.
406,There gushed from the cave a sticky fluid.,1,A sticky fluid gushed from the cave.
407,There gushed from the oven a sticky fluid.,1,A sticky fluid gushed from the oven.
408,There gushed from the hole a putrid smell.,1,A putrid smell gushed from the hole.
409,There gushed from the container a putrid smell.,1,A putrid smell gushed from the container.
410,There gushed from the cave a putrid smell.,1,A putrid smell gushed from the cave.
411,There gushed from the oven a putrid smell.,1,A putrid smell gushed from the oven.
412,There gushed from the hole a fine mist.,1,A fine mist gushed from the hole.
413,There gushed from the container a fine mist.,1,A fine mist gushed from the container.
414,There gushed from the cave a fine mist.,1,A fine mist gushed from the cave.
415,There gushed from the oven a fine mist.,1,A fine mist gushed from the oven.
416,There issued from the hole a sticky fluid.,1,A sticky fluid issued from the hole.
417,There issued from the container a sticky fluid.,1,A sticky fluid issued from the container.
418,There issued from the cave a sticky fluid.,1,A sticky fluid issued from the cave.
419,There issued from the oven a sticky fluid.,1,A sticky fluid issued from the oven.
420,There issued from the hole a putrid smell.,1,A putrid smell issued from the hole.
421,There issued from the container a putrid smell.,1,A putrid smell issued from the container.
422,There issued from the cave a putrid smell.,1,A putrid smell issued from the cave.
423,There issued from the oven a putrid smell.,1,A putrid smell issued from the oven.
424,There issued from the hole a fine mist.,1,A fine mist issued from the hole.
425,There issued from the container a fine mist.,1,A fine mist issued from the container.
426,There issued from the cave a fine mist.,1,A fine mist issued from the cave.
427,There issued from the oven a fine mist.,1,A fine mist issued from the oven.
428,There spilled from the hole a sticky fluid.,1,A sticky fluid spilled from the hole.
429,There spilled from the container a sticky fluid.,1,A sticky fluid spilled from the container.
